"Province","airport_iata","attribution"
"Ningxia Hui Autonomous Region","WUA",0.0271411923881789
"Ningxia Hui Autonomous Region","GYU",0.359933048839035
"Ningxia Hui Autonomous Region","IQN",0.00211355447210815
"Ningxia Hui Autonomous Region","ZHY",0.209622487550329
"Qinghai Province","AHJ",0.00625851005099742
"Qinghai Province","RKZ",0.000836080824924488
"Qinghai Province","YZY",0.0359348240425593
"Qinghai Province","GMQ",0.127276782952367
"Qinghai Province","JIC",0.000655496187889893
"Qinghai Province","DNH",0.0346287664615482
"Qinghai Province","HXD",0.142545003735004
"Qinghai Province","GOQ",0.257689566332569
"Qinghai Province","HTT",0.144728052118002
"Qinghai Province","JGN",0.0171865226940566
"Qinghai Province","LHW",0.000777407518694669
"Qinghai Province","GXH",0.0149299422069371
"Qinghai Province","XNN",0.0623174940175317
"Qinghai Province","BPX",0.0001952417883041
"Qinghai Province","LXA",0.0156528565528294
"Qinghai Province","LZY",0.00370651326840784
"Qinghai Province","YUS",0.13468084206048
"Shaanxi Province","INC",0.0146012950816096
"Shaanxi Province","THQ",0.0243789925713215
"Shaanxi Province","DSN",0.034206700656106
"Shaanxi Province","LLV",0.0235824472856422
"Shaanxi Province","YCU",0.0320534263014767
"Shaanxi Province","HPG",0.00260100846904943
"Shaanxi Province","WDS",0.0306391315219371
"Shaanxi Province","AKA",0.123768475717798
"Shaanxi Province","HZG",0.132752441400188
"Shaanxi Province","LNL",0.0193866200271427
"Shaanxi Province","IQN",0.0580905252311051
"Shaanxi Province","SIA",0.115352305522671
"Shaanxi Province","XIY",0.10303330739408
"Shaanxi Province","ENY",0.179024320447892
"Shaanxi Province","UYN",0.095437371004082
"Shaanxi Province","DAX",0.0000701586441897919
"Shaanxi Province","GYS",0.0110215383173321
"Shandong Province","DOY",0.0750591384716271
"Shandong Province","HDG",0.0129257024686332
"Shandong Province","TSN",0.00212421139654616
"Shandong Province","XNT",0.00378646764033631
"Shandong Province","AYN",0.00717159446839454
"Shandong Province","CGO",0.00140016778008716
"Shandong Province","JNG",0.196840012220525
"Shandong Province","TNA",0.228811125579312
"Shandong Province","LYG",0.00228210999285735
"Shandong Province","LYI",0.112422835127784
